device_id,fleet_id,event_time,battery_level,speed_mps,status,error_code,location_zone,temperature_celsius
ROBOT-0012,FLEET-SEATTLE-01,2026-03-21 02:31:00,12,0.0,ERROR,,ZONE-C,30.5
ROBOT-0012,FLEET-BOSTON-02,2026-03-21 02:37:00,12,2.26,ACTIVE,,ZONE-A,34.6
ROBOT-0019,FLEET-SEATTLE-01,2026-03-21 01:24:00,69,0.0,CHARGING,,ZONE-D,42.5
ROBOT-0020,FLEET-BOSTON-02,2026-03-21 17:06:00,46,0.0,IDLE,,ZONE-B,43.9
ROBOT-0011,FLEET-SEATTLE-01,2026-03-21 02:52:00,23,0.0,CHARGING,,ZONE-E,35.4
ROBOT-0015,FLEET-BOSTON-02,2026-03-21 17:53:00,36,1.83,ACTIVE,,ZONE-B,27.8
ROBOT-0011,FLEET-SEATTLE-01,2026-03-21 20:24:00,57,0.0,ERROR,,ZONE-A,39.3
ROBOT-0004,FLEET-SEATTLE-01,2026-03-21 23:09:00,47,0.0,ERROR,ERR_SENSOR,ZONE-D,25.7
ROBOT-0003,FLEET-SEATTLE-01,2026-03-21 22:39:00,47,0.0,IDLE,,ZONE-B,42.8
ROBOT-0020,FLEET-SEATTLE-01,2026-03-21 02:53:00,21,0.0,ERROR,,ZONE-C,33.1
ROBOT-0017,FLEET-BOSTON-01,2026-03-21 22:03:00,90,0.0,ERROR,ERR_MOTOR,ZONE-D,31.7
ROBOT-0010,FLEET-BOSTON-01,2026-03-21 07:18:00,51,1.2,ACTIVE,,ZONE-D,23.2
ROBOT-0003,FLEET-BOSTON-02,2026-03-21 03:27:00,24,0.0,IDLE,,ZONE-E,38.8
ROBOT-0011,FLEET-SEATTLE-01,2026-03-21 04:28:00,89,2.09,ACTIVE,,ZONE-B,22.4
ROBOT-0015,FLEET-BOSTON-01,2026-03-21 14:01:00,97,0.0,IDLE,,ZONE-C,36.3
ROBOT-0020,FLEET-BOSTON-02,2026-03-21 15:19:00,61,0.0,IDLE,,ZONE-B,32.4
ROBOT-0012,FLEET-SEATTLE-01,2026-03-21 19:28:00,29,0.0,ERROR,,ZONE-D,30.5
ROBOT-0017,FLEET-BOSTON-02,2026-03-21 05:31:00,69,0.0,ERROR,,ZONE-B,39.6
ROBOT-0002,FLEET-SEATTLE-01,2026-03-21 16:24:00,37,0.0,IDLE,,ZONE-C,33.0
ROBOT-0017,FLEET-BOSTON-01,2026-03-21 09:43:00,96,0.29,ACTIVE,,ZONE-B,25.4
ROBOT-0003,FLEET-BOSTON-01,2026-03-21 15:23:00,60,0.0,IDLE,,ZONE-C,43.1
ROBOT-0013,FLEET-SEATTLE-01,2026-03-21 12:45:00,16,0.0,CHARGING,,ZONE-B,28.4
ROBOT-0008,FLEET-BOSTON-01,2026-03-21 10:52:00,52,3.26,ACTIVE,,ZONE-C,39.4
ROBOT-0010,FLEET-BOSTON-02,2026-03-21 23:45:00,9,0.0,IDLE,,ZONE-B,38.5
ROBOT-0020,FLEET-BOSTON-01,2026-03-21 02:42:00,67,0.0,CHARGING,,ZONE-A,24.9
ROBOT-0020,FLEET-SEATTLE-01,2026-03-21 14:26:00,75,0.0,IDLE,,ZONE-A,39.0
